state,participation_17_sat,total_17_sat,participation_18_sat,total_18_sat,participation_19_sat,total_19_sat,participation_17_act,total_17_act,participation_18_act,total_18_act,participation_19_act,total_19_act,change_participation_sat,change_total_sat,change_participation_act,change_total_act
Alabama,0.05,1165,0.06,1166,0.07,1143,1.0,19.2,1.0,19.1,1.0,18.9,0.020000000000000004,-22,0.0,-0.3000000000000007
Alaska,0.38,1080,0.43,1106,0.41,1097,0.65,19.8,0.33,20.8,0.38,20.1,0.02999999999999997,17,-0.27,0.3000000000000007
Arizona,0.3,1116,0.29,1149,0.31,1134,0.62,19.7,0.66,19.2,0.73,19.0,0.010000000000000009,18,0.10999999999999999,-0.6999999999999993
Arkansas,0.03,1208,0.05,1169,0.06,1141,1.0,19.4,1.0,19.4,1.0,19.3,0.03,-67,0.0,-0.09999999999999787
California,0.53,1055,0.6,1076,0.63,1065,0.31,22.8,0.27,22.7,0.23,22.6,0.09999999999999998,10,-0.07999999999999999,-0.1999999999999993
Colorado,0.11,1201,1.0,1025,1.0,1024,1.0,20.8,0.3,23.9,0.27,23.8,0.89,-177,-0.73,3.0
Connecticut,1.0,1041,1.0,1053,1.0,1046,0.31,25.2,0.26,25.6,0.22,25.5,0.0,5,-0.09,0.3000000000000007
Delaware,1.0,996,1.0,998,1.0,985,0.18,24.1,0.17,23.8,0.13,24.1,0.0,-11,-0.04999999999999999,0.0
District of Columbia,1.0,950,0.92,977,0.94,975,0.32,24.2,0.32,23.6,0.32,23.5,-0.06000000000000005,25,0.0,-0.6999999999999993
Florida,0.83,1017,0.56,1099,1.0,999,0.73,19.8,0.66,19.9,0.54,20.1,0.17000000000000004,-18,-0.18999999999999995,0.3000000000000007
Georgia,0.61,1050,0.7,1064,0.71,1058,0.55,21.4,0.53,21.4,0.49,21.4,0.09999999999999998,8,-0.06000000000000005,0.0
Hawaii,0.55,1085,0.56,1010,0.54,1100,0.9,19.0,0.89,18.9,0.8,19.0,-0.010000000000000009,15,-0.09999999999999998,0.0
Idaho,0.93,1005,1.0,1001,1.0,993,0.38,22.3,0.36,22.3,0.31,22.5,0.06999999999999995,-12,-0.07,0.1999999999999993
Illinois,0.09,1115,0.99,1019,1.0,1013,0.93,21.4,0.43,23.9,0.35,24.3,0.91,-102,-0.5800000000000001,2.900000000000002
Indiana,0.63,1074,0.63,1074,0.66,1080,0.35,22.6,0.32,22.5,0.29,22.5,0.030000000000000027,6,-0.06,-0.10000000000000142
Iowa,0.02,1275,0.03,1265,0.03,1244,0.67,21.9,0.68,21.8,0.66,21.6,0.009999999999999998,-31,-0.010000000000000009,-0.29999999999999716
Kansas,0.04,1260,0.04,1265,0.04,1241,0.73,21.7,0.71,21.6,0.72,21.2,0.0,-19,-0.010000000000000009,-0.5
Kentucky,0.04,1247,0.04,1248,0.04,1232,1.0,20.0,1.0,20.2,1.0,19.8,0.0,-15,0.0,-0.1999999999999993
Louisiana,0.04,1198,0.04,1210,0.05,1200,1.0,19.5,1.0,19.2,1.0,18.8,0.010000000000000002,2,0.0,-0.6999999999999993
Maine,0.95,1012,0.99,1013,0.99,1013,0.08,24.3,0.07,24.0,0.06,24.3,0.040000000000000036,1,-0.020000000000000004,0.0
Maryland,0.69,1060,0.76,1080,0.82,1058,0.28,23.6,0.31,22.5,0.28,22.3,0.13,-2,0.0,-1.3000000000000007
Massachusetts,0.76,1107,0.8,1125,0.81,1120,0.29,25.4,0.25,25.5,0.21,25.5,0.050000000000000044,13,-0.07999999999999999,0.10000000000000142
Michigan,1.0,1005,1.0,1011,1.0,1003,0.29,24.1,0.22,24.2,0.19,24.4,0.0,-2,-0.09999999999999998,0.29999999999999716
Minnesota,0.03,1295,0.04,1298,0.04,1284,1.0,21.5,0.99,21.3,0.95,21.4,0.010000000000000002,-11,-0.050000000000000044,-0.10000000000000142
Mississippi,0.02,1242,0.03,1236,0.03,1237,1.0,18.6,1.0,18.6,1.0,18.4,0.009999999999999998,-5,0.0,-0.20000000000000284
Missouri,0.03,1271,0.04,1262,0.04,1236,1.0,20.4,1.0,20.0,0.82,20.8,0.010000000000000002,-35,-0.18000000000000005,0.40000000000000213
Montana,0.1,1196,0.1,1198,0.09,1199,1.0,20.3,1.0,20.0,1.0,19.8,-0.010000000000000009,3,0.0,-0.5
Nebraska,0.03,1253,0.03,1252,0.03,1260,0.84,21.4,1.0,20.1,1.0,20.0,0.0,7,0.16000000000000003,-1.3999999999999986
Nevada,0.26,1116,0.23,1140,0.2,1156,1.0,17.8,1.0,17.7,1.0,17.9,-0.06,40,0.0,0.09999999999999787
New Hampshire,0.96,1052,0.96,1063,0.95,1059,0.18,25.5,0.16,25.1,0.14,25.0,-0.010000000000000009,7,-0.03999999999999998,-0.5
New Jersey,0.7,1056,0.82,1094,0.82,1090,0.34,23.9,0.31,23.7,0.25,24.2,0.12,34,-0.09000000000000002,0.3000000000000007
New Mexico,0.11,1138,0.16,1093,0.18,1073,0.66,19.7,0.67,19.4,0.63,19.3,0.06999999999999999,-65,-0.030000000000000027,-0.3999999999999986
New York,0.67,1052,0.79,1068,0.79,1064,0.31,24.2,0.27,24.5,0.22,24.5,0.12,12,-0.09,0.3000000000000007
North Carolina,0.49,1081,0.52,1098,0.51,1100,1.0,19.1,1.0,19.1,1.0,19.0,0.020000000000000018,19,0.0,-0.10000000000000142
North Dakota,0.02,1256,0.02,1283,0.02,1263,0.98,20.3,0.98,20.3,0.96,19.9,0.0,7,-0.020000000000000018,-0.40000000000000213
Ohio,0.12,1149,0.08,1062,0.19,1097,0.75,22.0,1.0,20.3,1.0,20.0,0.07,-52,0.25,-2.0
Oklahoma,0.07,1047,0.18,1099,0.22,963,1.0,19.4,1.0,19.3,1.0,18.9,0.15,-84,0.0,-0.5
Oregon,0.43,1108,0.48,1117,0.51,1112,0.4,21.8,0.42,21.3,0.42,21.1,0.08000000000000002,4,0.019999999999999962,-0.6999999999999993
Pennsylvania,0.65,1071,0.7,1086,0.7,1082,0.23,23.7,0.2,23.5,0.17,23.6,0.04999999999999993,11,-0.06,-0.09999999999999787
Rhode Island,0.71,1062,0.97,1018,1.0,995,0.21,24.0,0.15,24.2,0.12,24.7,0.29000000000000004,-67,-0.09,0.6999999999999993
South Carolina,0.5,1064,0.55,1070,0.68,1030,1.0,18.7,1.0,18.3,0.78,18.8,0.18000000000000005,-34,-0.21999999999999997,0.10000000000000142
South Dakota,0.03,1216,0.03,1240,0.03,1268,0.8,21.8,0.77,21.9,0.75,21.6,0.0,52,-0.050000000000000044,-0.1999999999999993
Tennessee,0.05,1228,0.06,1231,0.07,1220,1.0,19.8,1.0,19.6,1.0,19.4,0.020000000000000004,-8,0.0,-0.40000000000000213
Texas,0.62,1020,0.66,1032,0.68,1022,0.45,20.7,0.45,20.7,0.39,20.5,0.06000000000000005,2,-0.06,-0.1999999999999993
Utah,0.03,1238,0.04,1010,0.04,1230,1.0,20.3,1.0,20.4,1.0,20.3,0.010000000000000002,-8,0.0,0.0
Vermont,0.6,1114,0.64,1120,0.66,1106,0.29,23.6,0.24,24.1,0.2,24.1,0.06000000000000005,-8,-0.08999999999999997,0.5
Virginia,0.65,1102,0.68,1117,0.68,1119,0.29,23.8,0.24,23.9,0.21,24.0,0.030000000000000027,17,-0.07999999999999999,0.1999999999999993
Washington,0.64,1075,0.69,1081,0.7,1074,0.29,21.9,0.24,22.2,0.24,22.1,0.05999999999999994,-1,-0.04999999999999999,0.20000000000000284
West Virginia,0.14,1086,0.28,999,0.99,943,0.69,20.4,0.65,20.3,0.49,20.8,0.85,-143,-0.19999999999999996,0.40000000000000213
Wisconsin,0.03,1291,0.03,1294,0.03,1283,1.0,20.5,1.0,20.5,1.0,20.3,0.0,-8,0.0,-0.1999999999999993
Wyoming,0.03,1230,0.03,1257,0.03,1238,1.0,20.2,1.0,20.0,1.0,19.8,0.0,8,0.0,-0.3999999999999986
